suburb,suburb_state,numCrimes
whorouly,VIC,40
wemen,VIC,38
raywood,VIC,43
muntham,VIC,3
goon nure,VIC,11
lucyvale,VIC,4
kevington,VIC,19
tamboon,VIC,18
grantville,VIC,349
flemington,VIC,7535
lovely banks,VIC,569
doncaster east,VIC,4360
point nepean,VIC,8
stonehaven,VIC,23
lindenow,VIC,62
seymour,VIC,5796
coburg,VIC,13484
beaconsfield,VIC,1904
tyabb east,VIC,1
bayswater north,VIC,3513
caulfield north,VIC,3099
wonga,VIC,1
pomonal,VIC,29
sebastopol,VIC,5286
wareek,VIC,10
ballarat north,VIC,1
barongarook west,VIC,9
piangil,VIC,36
dimboola,VIC,392
morton plains,VIC,2
silvan,VIC,200
bushy park,VIC,2
walwa,VIC,50
tyrendarra,VIC,17
cowes,VIC,2337
pound creek,VIC,9
glengarry west,VIC,6
wodonga west,VIC,10
noble park,VIC,13338
mudgegonga,VIC,8
tinamba west,VIC,8
pyalong,VIC,298
south geelong,VIC,245
junction village,VIC,129
preston,VIC,27280
crossover,VIC,48
murgheboluc,VIC,10
meeniyan,VIC,97
watsonia,VIC,2532
wairewa,VIC,21
windsor,VIC,3766
upper ferntree gully,VIC,1106
cokum,VIC,1
mount helen,VIC,375
nunga,VIC,1
exford,VIC,71
clifton springs,VIC,872
yeungroon east,VIC,1
albert park,VIC,3041
meatian,VIC,6
neerim north,VIC,5
marysville,VIC,85
ruffy,VIC,9
burrowye,VIC,5
cundare north,VIC,1
powelltown,VIC,35
staghorn flat,VIC,18
essendon west,VIC,157
sale,VIC,11106
wonga park,VIC,471
girgarre,VIC,135
wheelers hill,VIC,2741
panitya,VIC,7
balnarring,VIC,364
yellingbo,VIC,246
barmah,VIC,130
eynesbury,VIC,254
buragwonduc,VIC,1
cape woolamai,VIC,447
wattle bank,VIC,24
whitlands,VIC,2
yalla y poora,VIC,1
glenmore,VIC,3
talbot,VIC,189
bright,VIC,444
ivanhoe,VIC,4095
archies creek,VIC,57
whroo,VIC,22
grampians,VIC,4
gnotuk,VIC,8
strath creek,VIC,60
greta west,VIC,5
glenferrie south,VIC,1
lake tyers beach,VIC,122
katandra,VIC,18
raglan,VIC,42
archdale junction,VIC,4
argyle,VIC,7
swifts creek,VIC,81
bittern,VIC,731
gruyere,VIC,79
gazette,VIC,3
murchison east,VIC,73
maribyrnong,VIC,8730
lethbridge,VIC,95
tandarook,VIC,1
sandy point,VIC,33
gerangamete,VIC,28
silverleaves,VIC,19
carlton north,VIC,2430
wunghnu,VIC,75
bealiba,VIC,109
minjah,VIC,11
plenty upper,VIC,7
waldara,VIC,7
port albert,VIC,124
staceys bridge,VIC,8
myrtleford,VIC,1033
sidonia,VIC,5
devils river,VIC,4
brim,VIC,59
gundowring upper,VIC,1
sandon,VIC,13
casey fields,VIC,1
mount cottrell,VIC,270
toolong,VIC,7
arthurs creek,VIC,57
merrigum,VIC,148
stanley,VIC,19
quarry hill,VIC,558
aspendale,VIC,1398
carrajung south,VIC,12
lang lang,VIC,528
delahey,VIC,2756
dry creek,VIC,3
narre warren,VIC,15577
