suburb,suburb_state,numCrimes
West Haven,NSW,28
Huntleys Point,NSW,37
Punchbowl,NSW,1149
Kaputar,NSW,0
Willmot,NSW,515
Merricumbene,NSW,1
Coombell,NSW,0
Grong Grong,NSW,20
New Valley,NSW,6
Albury,NSW,2275
Butterwick,NSW,4
Tyalgum,NSW,25
Stanmore,NSW,457
Grasmere,NSW,19
Bribbaree,NSW,7
Moparrabah,NSW,1
North Curl Curl,NSW,103
Kootingal,NSW,133
Thornleigh,NSW,331
Swan Vale,NSW,0
Tunglebung,NSW,1
Rixs Creek,NSW,5
Pelican,NSW,63
Artarmon,NSW,496
Stokers Siding,NSW,28
Roseberg,NSW,1
Borenore,NSW,10
Boggabilla,NSW,392
Warriewood,NSW,255
Carnes Hill,NSW,125
Sandy Flat,NSW,4
Frenchs Forest,NSW,334
Kurmond,NSW,23
Rugby,NSW,1
Glenelg,NSW,0
Invergowrie,NSW,23
North Strathfield,NSW,197
Wagga Wagga,NSW,2509
Willow Vale,NSW,20
Whale Beach,NSW,2
South Gundurimba,NSW,5
Carroll,NSW,22
The Slopes,NSW,4
Boambee,NSW,94
Werris Creek,NSW,201
Croydon,NSW,247
Charleys Forest,NSW,4
Bogan,NSW,0
Crudine,NSW,5
Farrants Hill,NSW,2
Kurraba Point,NSW,22
Werrikimbe,NSW,0
Tinpot,NSW,0
Jaunter,NSW,1
North Gosford,NSW,316
Coasters Retreat,NSW,11
North Balgowlah,NSW,54
Upper Bingara,NSW,0
Bungarby,NSW,1
Duroby,NSW,1
Lake Illawarra,NSW,317
Kyeamba,NSW,5
Killingworth,NSW,54
Nelson Bay,NSW,676
Woolners Arm,NSW,2
Berrima,NSW,19
Goonoo Forest,NSW,3
Marengo,NSW,1
Mandurama,NSW,20
Elermore Vale,NSW,245
Illawong,NSW,149
Mozart,NSW,6
Albert,NSW,13
Parklea,NSW,124
Twelve Mile,NSW,6
Swansea Heads,NSW,16
Yarrangobilly,NSW,0
Comara,NSW,5
Wherrol Flat,NSW,13
Arrawarra Headland,NSW,12
Tintenbar,NSW,23
Tucabia,NSW,13
Black Creek,NSW,3
Whitebridge,NSW,116
Nowley,NSW,0
Cartwrights Hill,NSW,13
Beloka,NSW,0
Ravenswood,NSW,62
Moleville Creek,NSW,1
Wilbetree,NSW,0
Boorook,NSW,0
Gleniffer,NSW,15
Mylestom,NSW,48
Carcoar,NSW,26
Laughtondale,NSW,2
Banoon,NSW,2
